post_owner,time_of_day,year,month,day,day_week,date,hour,part_of_day
omelete,2018-10-04 02:39:04,2018,October,4,Thursday,2018-10-04,2,Late Night
omeuutero,2018-10-04 00:56:49,2018,October,4,Thursday,2018-10-04,0,Late Night
nazareamarga,2018-10-03 02:39:48,2018,October,3,Wednesday,2018-10-03,2,Late Night
bodegaiato,2018-10-02 02:33:32,2018,October,2,Tuesday,2018-10-02,2,Late Night
ezatamentchy,2018-10-01 15:29:03,2018,October,1,Monday,2018-10-01,15,Afternoon
luccas._.alves,2018-10-01 14:08:00,2018,October,1,Monday,2018-10-01,14,Afternoon
marianagoldfarb,2018-10-01 03:58:30,2018,October,1,Monday,2018-10-01,3,Late Night
sertanejopub,2018-09-30 04:38:58,2018,September,30,Sunday,2018-09-30,4,Late Night
rai_sousajr,2018-09-30 00:51:02,2018,September,30,Sunday,2018-09-30,0,Late Night
rai_sousajr,2018-09-30 00:50:40,2018,September,30,Sunday,2018-09-30,0,Late Night
bregabregoso,2018-09-29 23:05:15,2018,September,29,Saturday,2018-09-29,23,Night
liviasalves,2018-09-29 01:46:18,2018,September,29,Saturday,2018-09-29,1,Late Night
brunamalheiros,2018-09-29 01:21:18,2018,September,29,Saturday,2018-09-29,1,Late Night
brunamalheiros,2018-09-29 00:00:05,2018,September,29,Saturday,2018-09-29,0,Late Night
chegadejurosabusivos,2018-09-28 10:24:50,2018,September,28,Friday,2018-09-28,10,Morning
portaldadanca,2018-09-27 23:38:58,2018,September,27,Thursday,2018-09-27,23,Night
swagdancemcz,2018-09-27 20:53:29,2018,September,27,Thursday,2018-09-27,20,Evening
rosangelabrunsten,2018-09-27 17:34:45,2018,September,27,Thursday,2018-09-27,17,Evening
rosangelabrunsten,2018-09-27 16:36:56,2018,September,27,Thursday,2018-09-27,16,Afternoon
chegadejurosabusivos,2018-09-27 11:41:12,2018,September,27,Thursday,2018-09-27,11,Morning
zenetoecristiano,2018-09-27 00:12:57,2018,September,27,Thursday,2018-09-27,0,Late Night
trlacerda,2018-09-26 21:05:26,2018,September,26,Wednesday,2018-09-26,21,Night
bodegaiato,2018-09-26 18:48:03,2018,September,26,Wednesday,2018-09-26,18,Evening
filhasdefrida,2018-09-26 18:47:13,2018,September,26,Wednesday,2018-09-26,18,Evening
atitude67,2018-09-26 11:48:52,2018,September,26,Wednesday,2018-09-26,11,Morning
zeliaduncan,2018-09-26 11:40:25,2018,September,26,Wednesday,2018-09-26,11,Morning
tamisacosta,2018-09-26 11:38:59,2018,September,26,Wednesday,2018-09-26,11,Morning
atitude67,2018-09-26 04:41:45,2018,September,26,Wednesday,2018-09-26,4,Late Night
portal.anitta,2018-09-26 04:31:50,2018,September,26,Wednesday,2018-09-26,4,Late Night
tamisacosta,2018-09-26 03:48:13,2018,September,26,Wednesday,2018-09-26,3,Late Night
recifeordinario,2018-09-25 23:29:47,2018,September,25,Tuesday,2018-09-25,23,Night
recifeordinario,2018-09-25 23:20:11,2018,September,25,Tuesday,2018-09-25,23,Night
talesmaneva,2018-09-25 22:25:15,2018,September,25,Tuesday,2018-09-25,22,Night
joanaeela,2018-09-25 16:53:25,2018,September,25,Tuesday,2018-09-25,16,Afternoon
avidacomaendo,2018-09-25 16:45:13,2018,September,25,Tuesday,2018-09-25,16,Afternoon
rai_sousajr,2018-09-25 16:38:31,2018,September,25,Tuesday,2018-09-25,16,Afternoon
nazareamarga,2018-09-25 02:15:28,2018,September,25,Tuesday,2018-09-25,2,Late Night
sintonizoufrases,2018-09-24 21:25:55,2018,September,24,Monday,2018-09-24,21,Night
raimundosrock,2018-09-24 19:26:55,2018,September,24,Monday,2018-09-24,19,Evening
5aseco,2018-09-24 18:25:07,2018,September,24,Monday,2018-09-24,18,Evening
hipsterrecifense,2018-09-22 17:34:22,2018,September,22,Saturday,2018-09-22,17,Evening
brcretinas,2018-09-21 21:47:19,2018,September,21,Friday,2018-09-21,21,Night
joaoquirino,2018-09-21 16:13:05,2018,September,21,Friday,2018-09-21,16,Afternoon
omeuutero,2018-09-20 18:06:00,2018,September,20,Thursday,2018-09-20,18,Evening
omeuutero,2018-09-20 18:05:02,2018,September,20,Thursday,2018-09-20,18,Evening
recifeordinario,2018-09-20 14:27:19,2018,September,20,Thursday,2018-09-20,14,Afternoon
recifeordinario,2018-09-20 14:26:29,2018,September,20,Thursday,2018-09-20,14,Afternoon
sincerooficial,2018-09-20 10:40:19,2018,September,20,Thursday,2018-09-20,10,Morning
jerrysmithoficial,2018-09-19 22:15:04,2018,September,19,Wednesday,2018-09-19,22,Night
laurengerman,2018-09-19 16:42:33,2018,September,19,Wednesday,2018-09-19,16,Afternoon
acidalia_garcia,2018-09-19 14:57:57,2018,September,19,Wednesday,2018-09-19,14,Afternoon
nazareamarga,2018-09-19 13:09:16,2018,September,19,Wednesday,2018-09-19,13,Afternoon
bodegaiato,2018-09-18 22:04:28,2018,September,18,Tuesday,2018-09-18,22,Night
midianinja,2018-09-18 21:51:05,2018,September,18,Tuesday,2018-09-18,21,Night
irmazuleideoficial,2018-09-18 21:50:22,2018,September,18,Tuesday,2018-09-18,21,Night
liviaandradereal,2018-09-18 21:11:57,2018,September,18,Tuesday,2018-09-18,21,Night
midianinja,2018-09-18 21:00:14,2018,September,18,Tuesday,2018-09-18,21,Night
araujovivianne,2018-09-18 20:53:38,2018,September,18,Tuesday,2018-09-18,20,Evening
hugogloss,2018-09-18 20:51:25,2018,September,18,Tuesday,2018-09-18,20,Evening
manueladavila,2018-09-18 18:25:40,2018,September,18,Tuesday,2018-09-18,18,Evening
manueladavila,2018-09-18 18:24:45,2018,September,18,Tuesday,2018-09-18,18,Evening
filhasdefrida,2018-09-18 18:24:16,2018,September,18,Tuesday,2018-09-18,18,Evening
nutricionista_carolfaria,2018-09-18 17:35:36,2018,September,18,Tuesday,2018-09-18,17,Evening
irmazuleideoficial,2018-09-18 10:39:31,2018,September,18,Tuesday,2018-09-18,10,Morning
zenetoecristiano,2018-09-18 00:32:17,2018,September,18,Tuesday,2018-09-18,0,Late Night
fabioassuncaooficial,2018-09-17 19:34:18,2018,September,17,Monday,2018-09-17,19,Evening
chandellybraz,2018-09-17 18:10:02,2018,September,17,Monday,2018-09-17,18,Evening
luccas._.alves,2018-09-17 15:26:11,2018,September,17,Monday,2018-09-17,15,Afternoon
luccas._.alves,2018-09-17 15:16:40,2018,September,17,Monday,2018-09-17,15,Afternoon
rafaavitti,2018-09-17 11:42:23,2018,September,17,Monday,2018-09-17,11,Morning
brcretinas,2018-09-17 01:34:07,2018,September,17,Monday,2018-09-17,1,Late Night
ezatamentchy,2018-09-16 22:35:24,2018,September,16,Sunday,2018-09-16,22,Night
portaldadanca,2018-09-16 22:21:02,2018,September,16,Sunday,2018-09-16,22,Night
zeronamekay,2018-09-16 04:38:19,2018,September,16,Sunday,2018-09-16,4,Late Night
verdades_quase_secretas,2018-09-16 01:38:11,2018,September,16,Sunday,2018-09-16,1,Late Night
netflixbrasil,2018-09-15 23:38:25,2018,September,15,Saturday,2018-09-15,23,Night
jorgedupeixe,2018-09-15 23:35:49,2018,September,15,Saturday,2018-09-15,23,Night
zeronamekay,2018-09-15 23:28:07,2018,September,15,Saturday,2018-09-15,23,Night
akapoeta,2018-09-15 21:14:18,2018,September,15,Saturday,2018-09-15,21,Night
editora_alfaguara,2018-09-14 21:16:05,2018,September,14,Friday,2018-09-14,21,Night
fepaesleme,2018-09-14 19:56:07,2018,September,14,Friday,2018-09-14,19,Evening
brcretinas,2018-09-14 00:16:57,2018,September,14,Friday,2018-09-14,0,Late Night
marianagoldfarb,2018-09-14 00:12:36,2018,September,14,Friday,2018-09-14,0,Late Night
sincerooficial,2018-09-13 16:26:59,2018,September,13,Thursday,2018-09-13,16,Afternoon
ezatamentchy,2018-09-13 13:19:48,2018,September,13,Thursday,2018-09-13,13,Afternoon
bodegaiato,2018-09-12 23:22:02,2018,September,12,Wednesday,2018-09-12,23,Night
trilheiros_chapada_diamantina,2018-09-12 17:48:15,2018,September,12,Wednesday,2018-09-12,17,Evening
trlacerda,2018-09-12 09:55:31,2018,September,12,Wednesday,2018-09-12,9,Morning
irmazuleideoficial,2018-09-11 18:18:51,2018,September,11,Tuesday,2018-09-11,18,Evening
karinabuhr,2018-09-11 17:27:01,2018,September,11,Tuesday,2018-09-11,17,Evening
irmazuleideoficial,2018-09-10 23:56:35,2018,September,10,Monday,2018-09-10,23,Night
ponchohd,2018-09-10 22:39:19,2018,September,10,Monday,2018-09-10,22,Night
editoraaleph,2018-09-10 21:46:00,2018,September,10,Monday,2018-09-10,21,Night
vaiquecola1,2018-09-10 12:03:27,2018,September,10,Monday,2018-09-10,12,Morning
palomaduarteoficial,2018-09-10 12:03:06,2018,September,10,Monday,2018-09-10,12,Morning
rodrigomarim,2018-09-09 14:02:38,2018,September,9,Sunday,2018-09-09,14,Afternoon
trechosdelivro,2018-09-09 02:14:53,2018,September,9,Sunday,2018-09-09,2,Late Night
bregabregoso,2018-09-06 15:51:54,2018,September,6,Thursday,2018-09-06,15,Afternoon
hipsterrecifense,2018-09-06 15:18:48,2018,September,6,Thursday,2018-09-06,15,Afternoon
bregabregoso,2018-09-06 10:40:20,2018,September,6,Thursday,2018-09-06,10,Morning
favorecidas,2018-09-05 21:44:24,2018,September,5,Wednesday,2018-09-05,21,Night
bregabregoso,2018-09-05 16:30:07,2018,September,5,Wednesday,2018-09-05,16,Afternoon
alcionealves27,2018-09-05 11:03:09,2018,September,5,Wednesday,2018-09-05,11,Morning
brcretinas,2018-09-05 10:11:54,2018,September,5,Wednesday,2018-09-05,10,Morning
alcionealves27,2018-09-04 16:36:49,2018,September,4,Tuesday,2018-09-04,16,Afternoon
revistaforum,2018-09-04 16:19:29,2018,September,4,Tuesday,2018-09-04,16,Afternoon
lulusantosoficial,2018-09-04 03:59:58,2018,September,4,Tuesday,2018-09-04,3,Late Night
rodrigomarim,2018-09-04 02:07:06,2018,September,4,Tuesday,2018-09-04,2,Late Night
jovemadm,2018-09-04 01:23:26,2018,September,4,Tuesday,2018-09-04,1,Late Night
marianagoldfarb,2018-09-04 00:57:07,2018,September,4,Tuesday,2018-09-04,0,Late Night
brunagriphaoo,2018-09-04 00:53:32,2018,September,4,Tuesday,2018-09-04,0,Late Night
deborahewbank8888,2018-09-03 23:32:45,2018,September,3,Monday,2018-09-03,23,Night
ricardo_japinha,2018-09-03 23:26:23,2018,September,3,Monday,2018-09-03,23,Night
virginianasevirginianos,2018-09-03 21:45:12,2018,September,3,Monday,2018-09-03,21,Night
mclomaofficial,2018-09-03 21:32:52,2018,September,3,Monday,2018-09-03,21,Night
virginianasevirginianos,2018-09-03 20:09:54,2018,September,3,Monday,2018-09-03,20,Evening
portal.anitta,2018-09-03 18:51:10,2018,September,3,Monday,2018-09-03,18,Evening
portal.anitta,2018-09-03 18:00:45,2018,September,3,Monday,2018-09-03,18,Evening
recifeordinario,2018-09-03 17:15:13,2018,September,3,Monday,2018-09-03,17,Evening
recifeordinario,2018-09-03 16:23:31,2018,September,3,Monday,2018-09-03,16,Afternoon
sincerooficial,2018-09-03 06:16:22,2018,September,3,Monday,2018-09-03,6,Early Morning
lucianagimenez,2018-09-02 03:24:59,2018,September,2,Sunday,2018-09-02,3,Late Night
quebrandootabu,2018-09-01 20:10:49,2018,September,1,Saturday,2018-09-01,20,Evening
omeuutero,2018-09-01 13:20:29,2018,September,1,Saturday,2018-09-01,13,Afternoon
ginecologistasincera,2018-09-01 03:34:48,2018,September,1,Saturday,2018-09-01,3,Late Night
bodegaiato,2018-09-01 03:22:39,2018,September,1,Saturday,2018-09-01,3,Late Night
revistaforum,2018-08-29 22:31:43,2018,August,29,Wednesday,2018-08-29,22,Night
marianagoldfarb,2018-08-29 14:07:52,2018,August,29,Wednesday,2018-08-29,14,Afternoon
nutricionista_carolfaria,2018-08-27 20:57:16,2018,August,27,Monday,2018-08-27,20,Evening
nutricionista_carolfaria,2018-08-25 18:55:59,2018,August,25,Saturday,2018-08-25,18,Evening
danielcady,2018-08-25 18:54:26,2018,August,25,Saturday,2018-08-25,18,Evening
comet_the_cutie,2018-08-25 03:25:34,2018,August,25,Saturday,2018-08-25,3,Late Night
netflixbrasil,2018-08-25 03:22:57,2018,August,25,Saturday,2018-08-25,3,Late Night
iza,2018-08-25 03:21:57,2018,August,25,Saturday,2018-08-25,3,Late Night
robsonanselmotavares,2018-08-25 03:20:35,2018,August,25,Saturday,2018-08-25,3,Late Night
oficialkellykey,2018-08-21 12:35:20,2018,August,21,Tuesday,2018-08-21,12,Morning
leonardo,2018-08-21 12:31:24,2018,August,21,Tuesday,2018-08-21,12,Morning
adanivalente,2018-08-21 03:31:13,2018,August,21,Tuesday,2018-08-21,3,Late Night
danielcady,2018-08-21 02:37:47,2018,August,21,Tuesday,2018-08-21,2,Late Night
sincerooficial,2018-08-21 02:35:03,2018,August,21,Tuesday,2018-08-21,2,Late Night
ricardobsa,2018-08-17 11:15:56,2018,August,17,Friday,2018-08-17,11,Morning
amoresexo,2018-08-17 04:08:08,2018,August,17,Friday,2018-08-17,4,Late Night
omeuutero,2018-08-17 03:52:50,2018,August,17,Friday,2018-08-17,3,Late Night
omeuutero,2018-08-17 03:51:55,2018,August,17,Friday,2018-08-17,3,Late Night
feliphe_bravo,2018-08-15 23:09:08,2018,August,15,Wednesday,2018-08-15,23,Night
renosplgbti,2018-08-13 13:47:23,2018,August,13,Monday,2018-08-13,13,Afternoon
maespeladiversidade,2018-08-13 13:41:00,2018,August,13,Monday,2018-08-13,13,Afternoon
omeuutero,2018-08-13 13:37:21,2018,August,13,Monday,2018-08-13,13,Afternoon
mtvbrasil,2018-08-12 19:21:19,2018,August,12,Sunday,2018-08-12,19,Evening
trlacerda,2018-08-11 19:34:28,2018,August,11,Saturday,2018-08-11,19,Evening
iza,2018-08-11 03:43:42,2018,August,11,Saturday,2018-08-11,3,Late Night
omeuutero,2018-08-11 03:29:58,2018,August,11,Saturday,2018-08-11,3,Late Night
revistatpm,2018-08-09 04:09:55,2018,August,9,Thursday,2018-08-09,4,Late Night
omeuutero,2018-08-08 17:54:21,2018,August,8,Wednesday,2018-08-08,17,Evening
vaiquecola1,2018-08-08 13:37:03,2018,August,8,Wednesday,2018-08-08,13,Afternoon
omeuutero,2018-08-08 13:33:42,2018,August,8,Wednesday,2018-08-08,13,Afternoon
reginanavarrolins,2018-08-08 01:58:23,2018,August,8,Wednesday,2018-08-08,1,Late Night
rodrigogodoy_,2018-08-08 01:22:29,2018,August,8,Wednesday,2018-08-08,1,Late Night
alcionealves27,2018-08-08 00:05:30,2018,August,8,Wednesday,2018-08-08,0,Late Night
virginianasevirginianos,2018-08-07 14:47:16,2018,August,7,Tuesday,2018-08-07,14,Afternoon
hipsterrecifense,2018-08-06 02:10:39,2018,August,6,Monday,2018-08-06,2,Late Night
hipsterrecifense,2018-08-06 02:10:22,2018,August,6,Monday,2018-08-06,2,Late Night
nutricionista_carolfaria,2018-08-05 15:38:43,2018,August,5,Sunday,2018-08-05,15,Afternoon
belagil,2018-08-04 21:45:19,2018,August,4,Saturday,2018-08-04,21,Night
hipsterrecifense,2018-08-04 16:21:39,2018,August,4,Saturday,2018-08-04,16,Afternoon
bregabregoso,2018-08-02 03:37:30,2018,August,2,Thursday,2018-08-02,3,Late Night
discogrohl,2018-08-02 03:36:05,2018,August,2,Thursday,2018-08-02,3,Late Night
filhasdefrida,2018-08-02 03:11:51,2018,August,2,Thursday,2018-08-02,3,Late Night
mari.ilustra,2018-08-02 03:09:40,2018,August,2,Thursday,2018-08-02,3,Late Night
recifeordinario,2018-08-02 03:08:54,2018,August,2,Thursday,2018-08-02,3,Late Night
bonjovi,2018-08-01 02:18:27,2018,August,1,Wednesday,2018-08-01,2,Late Night
angulodevista,2018-08-01 00:57:39,2018,August,1,Wednesday,2018-08-01,0,Late Night
luccas._.alves,2018-07-31 23:41:39,2018,July,31,Tuesday,2018-07-31,23,Night
pragmatismopolitico,2018-07-31 15:45:10,2018,July,31,Tuesday,2018-07-31,15,Afternoon
midianinja,2018-07-31 15:43:28,2018,July,31,Tuesday,2018-07-31,15,Afternoon
legiaodosherois,2018-07-30 13:39:59,2018,July,30,Monday,2018-07-30,13,Afternoon
recifeordinario,2018-07-30 13:15:21,2018,July,30,Monday,2018-07-30,13,Afternoon
acidalia_garcia,2018-07-29 16:48:52,2018,July,29,Sunday,2018-07-29,16,Afternoon
alissawhitegluz,2018-07-29 04:28:14,2018,July,29,Sunday,2018-07-29,4,Late Night
vaiquecola1,2018-07-29 02:43:34,2018,July,29,Sunday,2018-07-29,2,Late Night
ginaindelicada,2018-07-28 05:59:28,2018,July,28,Saturday,2018-07-28,5,Early Morning
ginaindelicada,2018-07-28 05:58:47,2018,July,28,Saturday,2018-07-28,5,Early Morning
wildlife_animalslife,2018-07-27 21:09:19,2018,July,27,Friday,2018-07-27,21,Night
loudwire,2018-07-24 03:36:03,2018,July,24,Tuesday,2018-07-24,3,Late Night
sincerooficial,2018-07-24 03:27:53,2018,July,24,Tuesday,2018-07-24,3,Late Night
_sbrnlr54,2018-07-24 03:21:34,2018,July,24,Tuesday,2018-07-24,3,Late Night
_sbrnlr54,2018-07-22 13:58:27,2018,July,22,Sunday,2018-07-22,13,Afternoon
ozzyosbourne,2018-07-19 03:29:37,2018,July,19,Thursday,2018-07-19,3,Late Night
sandyoficial,2018-07-15 19:30:19,2018,July,15,Sunday,2018-07-15,19,Evening
foxsportsbrasil,2018-07-15 18:35:07,2018,July,15,Sunday,2018-07-15,18,Evening
hugogloss,2018-07-15 18:33:34,2018,July,15,Sunday,2018-07-15,18,Evening
lukamodric10,2018-07-15 18:25:30,2018,July,15,Sunday,2018-07-15,18,Evening
sincerooficial,2018-07-15 18:16:02,2018,July,15,Sunday,2018-07-15,18,Evening
afetompb,2018-07-14 22:10:17,2018,July,14,Saturday,2018-07-14,22,Night
foxsportsbrasil,2018-07-14 13:21:25,2018,July,14,Saturday,2018-07-14,13,Afternoon
sportv,2018-07-14 13:13:21,2018,July,14,Saturday,2018-07-14,13,Afternoon
titecoach,2018-07-12 13:56:15,2018,July,12,Thursday,2018-07-12,13,Afternoon
mcorreia76,2018-07-12 13:15:08,2018,July,12,Thursday,2018-07-12,13,Afternoon
foofighters,2018-07-11 02:44:37,2018,July,11,Wednesday,2018-07-11,2,Late Night
vaiquecola1,2018-07-11 02:43:53,2018,July,11,Wednesday,2018-07-11,2,Late Night
bodegaiato,2018-07-10 10:06:25,2018,July,10,Tuesday,2018-07-10,10,Morning
luizthunderbird,2018-07-10 03:49:21,2018,July,10,Tuesday,2018-07-10,3,Late Night
bodegaiato,2018-07-10 03:38:08,2018,July,10,Tuesday,2018-07-10,3,Late Night
bodegaiato,2018-07-10 02:33:53,2018,July,10,Tuesday,2018-07-10,2,Late Night
sincerooficial,2018-07-08 13:53:45,2018,July,8,Sunday,2018-07-08,13,Afternoon
foxsportsbrasil,2018-07-08 13:50:25,2018,July,8,Sunday,2018-07-08,13,Afternoon
roberto_firmino,2018-07-08 13:45:04,2018,July,8,Sunday,2018-07-08,13,Afternoon
jc_pe,2018-07-01 21:43:15,2018,July,1,Sunday,2018-07-01,21,Night
jc_pe,2018-07-01 01:53:58,2018,July,1,Sunday,2018-07-01,1,Late Night
poenaroda,2018-06-27 23:24:48,2018,June,27,Wednesday,2018-06-27,23,Night
celestebarber,2018-06-27 21:14:42,2018,June,27,Wednesday,2018-06-27,21,Night
ozzyosbourne,2018-06-27 15:19:01,2018,June,27,Wednesday,2018-06-27,15,Afternoon
ozzyosbourne,2018-06-27 15:16:48,2018,June,27,Wednesday,2018-06-27,15,Afternoon
fevasconcellos,2018-06-27 11:22:49,2018,June,27,Wednesday,2018-06-27,11,Morning
foxsportsbrasil,2018-06-27 11:21:51,2018,June,27,Wednesday,2018-06-27,11,Morning
editora_alfaguara,2018-06-22 17:20:53,2018,June,22,Friday,2018-06-22,17,Evening
pefabiodemelo,2018-06-22 14:50:00,2018,June,22,Friday,2018-06-22,14,Afternoon
daniellakennia,2018-06-22 14:34:38,2018,June,22,Friday,2018-06-22,14,Afternoon
oficialmarciogarcia,2018-06-22 14:19:30,2018,June,22,Friday,2018-06-22,14,Afternoon
editora_alfaguara,2018-06-21 21:50:27,2018,June,21,Thursday,2018-06-21,21,Night
evandro_guedes,2018-06-20 23:33:10,2018,June,20,Wednesday,2018-06-20,23,Night
sitedrauziovarella,2018-06-20 23:27:06,2018,June,20,Wednesday,2018-06-20,23,Night
hipsterrecifense,2018-06-20 15:22:34,2018,June,20,Wednesday,2018-06-20,15,Afternoon
hipsterrecifense,2018-06-20 15:14:53,2018,June,20,Wednesday,2018-06-20,15,Afternoon
sofyanamrabat,2018-06-20 14:37:15,2018,June,20,Wednesday,2018-06-20,14,Afternoon
blacksabbath,2018-06-20 14:14:22,2018,June,20,Wednesday,2018-06-20,14,Afternoon
joacimcans,2018-06-20 14:09:34,2018,June,20,Wednesday,2018-06-20,14,Afternoon
joacimcans,2018-06-20 14:03:03,2018,June,20,Wednesday,2018-06-20,14,Afternoon
bodegaiato,2018-06-20 13:48:14,2018,June,20,Wednesday,2018-06-20,13,Afternoon
n_amrabat_official,2018-06-20 13:21:38,2018,June,20,Wednesday,2018-06-20,13,Afternoon
bodegaiato,2018-06-20 00:55:31,2018,June,20,Wednesday,2018-06-20,0,Late Night
poenaroda,2018-06-19 22:26:32,2018,June,19,Tuesday,2018-06-19,22,Night
jc_pe,2018-06-19 16:51:40,2018,June,19,Tuesday,2018-06-19,16,Afternoon
queenextravaganza,2018-06-19 14:43:38,2018,June,19,Tuesday,2018-06-19,14,Afternoon
novo_conceito,2018-06-17 14:20:39,2018,June,17,Sunday,2018-06-17,14,Afternoon
brianmayforreal,2018-06-17 13:28:15,2018,June,17,Sunday,2018-06-17,13,Afternoon
officialtomellis,2018-06-17 02:27:15,2018,June,17,Sunday,2018-06-17,2,Late Night
johndolmayan_,2018-06-17 02:18:08,2018,June,17,Sunday,2018-06-17,2,Late Night
sharonosbourne,2018-06-16 20:12:53,2018,June,16,Saturday,2018-06-16,20,Evening
sincerooficial,2018-06-16 18:44:23,2018,June,16,Saturday,2018-06-16,18,Evening
sincerooficial,2018-06-16 17:29:45,2018,June,16,Saturday,2018-06-16,17,Evening
ozzyosbourne,2018-06-16 17:19:54,2018,June,16,Saturday,2018-06-16,17,Evening
d3nny5_sde,2018-06-16 17:17:29,2018,June,16,Saturday,2018-06-16,17,Evening
sincerooficial,2018-06-16 15:54:22,2018,June,16,Saturday,2018-06-16,15,Afternoon
sincerooficial,2018-06-16 15:54:00,2018,June,16,Saturday,2018-06-16,15,Afternoon
evandromesquita,2018-06-16 15:31:46,2018,June,16,Saturday,2018-06-16,15,Afternoon
evandromesquita,2018-06-16 15:31:32,2018,June,16,Saturday,2018-06-16,15,Afternoon
ana_canas,2018-06-16 15:16:32,2018,June,16,Saturday,2018-06-16,15,Afternoon
eaimiles,2018-06-15 22:10:50,2018,June,15,Friday,2018-06-15,22,Night
igorangelkorte,2018-06-15 20:31:29,2018,June,15,Friday,2018-06-15,20,Evening
sincerooficial,2018-06-15 20:30:19,2018,June,15,Friday,2018-06-15,20,Evening
pefabiodemelo,2018-06-14 21:05:13,2018,June,14,Thursday,2018-06-14,21,Night
ozzyosbourne,2018-06-13 00:48:21,2018,June,13,Wednesday,2018-06-13,0,Late Night
sincerooficial,2018-06-08 15:36:19,2018,June,8,Friday,2018-06-08,15,Afternoon
discogrohl,2018-06-05 17:40:40,2018,June,5,Tuesday,2018-06-05,17,Evening
hipsterrecifense,2018-06-05 17:34:42,2018,June,5,Tuesday,2018-06-05,17,Evening
officialtomellis,2018-06-04 12:52:28,2018,June,4,Monday,2018-06-04,12,Morning
systemofadown,2018-06-03 05:25:26,2018,June,3,Sunday,2018-06-03,5,Early Morning
sincerooficial,2018-06-02 16:58:20,2018,June,2,Saturday,2018-06-02,16,Afternoon
hipsterrecifense,2018-06-01 04:46:29,2018,June,1,Friday,2018-06-01,4,Late Night
hipsterrecifense,2018-06-01 04:45:08,2018,June,1,Friday,2018-06-01,4,Late Night
daronmalakian,2018-06-01 04:22:36,2018,June,1,Friday,2018-06-01,4,Late Night
mariadoceurecife,2018-05-30 19:48:09,2018,May,30,Wednesday,2018-05-30,19,Evening
ozzyosbourne,2018-05-27 15:27:41,2018,May,27,Sunday,2018-05-27,15,Afternoon
esterluna18,2018-05-26 21:04:20,2018,May,26,Saturday,2018-05-26,21,Night
luizfelipecarneiro,2018-05-26 16:21:39,2018,May,26,Saturday,2018-05-26,16,Afternoon
estadao,2018-05-26 14:20:17,2018,May,26,Saturday,2018-05-26,14,Afternoon
roh_costa,2018-05-26 03:05:56,2018,May,26,Saturday,2018-05-26,3,Late Night
wilcla_maedebiaebruna,2018-05-24 14:37:24,2018,May,24,Thursday,2018-05-24,14,Afternoon
wilcla_maedebiaebruna,2018-05-24 14:36:55,2018,May,24,Thursday,2018-05-24,14,Afternoon
jackcacatua,2018-05-24 03:07:35,2018,May,24,Thursday,2018-05-24,3,Late Night
officialtomellis,2018-05-23 13:37:04,2018,May,23,Wednesday,2018-05-23,13,Afternoon
deyvisonfsilva,2018-05-22 12:15:19,2018,May,22,Tuesday,2018-05-22,12,Morning
deyvisonfsilva,2018-05-22 11:06:07,2018,May,22,Tuesday,2018-05-22,11,Morning
brianmayforreal,2018-05-20 23:40:01,2018,May,20,Sunday,2018-05-20,23,Night
brianmayforreal,2018-05-20 13:35:29,2018,May,20,Sunday,2018-05-20,13,Afternoon
robsonanselmotavares,2018-05-20 01:41:01,2018,May,20,Sunday,2018-05-20,1,Late Night
vickycornell,2018-05-19 03:11:22,2018,May,19,Saturday,2018-05-19,3,Late Night
tommorello,2018-05-19 03:04:32,2018,May,19,Saturday,2018-05-19,3,Late Night
vickycornell,2018-05-18 01:26:37,2018,May,18,Friday,2018-05-18,1,Late Night
robsonanselmotavares,2018-05-17 03:20:46,2018,May,17,Thursday,2018-05-17,3,Late Night
miltonbitucanascimento,2018-05-17 02:49:30,2018,May,17,Thursday,2018-05-17,2,Late Night
ozzyosbourne,2018-05-16 02:43:52,2018,May,16,Wednesday,2018-05-16,2,Late Night
instacinefilos,2018-05-14 20:26:20,2018,May,14,Monday,2018-05-14,20,Evening
whiplash_net,2018-05-08 18:42:18,2018,May,8,Tuesday,2018-05-08,18,Evening
pollypimenttel,2018-03-10 14:16:12,2018,March,10,Saturday,2018-03-10,14,Afternoon
leiturinha,2018-02-27 01:45:07,2018,February,27,Tuesday,2018-02-27,1,Late Night
companhiadasletras,2018-02-01 22:50:16,2018,February,1,Thursday,2018-02-01,22,Night
_sbrnlr54,2018-01-20 01:31:36,2018,January,20,Saturday,2018-01-20,1,Late Night
tamisacosta,2017-12-23 03:25:53,2017,December,23,Saturday,2017-12-23,3,Late Night
luccas._.alves,2017-12-18 05:25:06,2017,December,18,Monday,2017-12-18,5,Early Morning
jorgearagaodacruz,2017-12-03 13:33:20,2017,December,3,Sunday,2017-12-03,13,Afternoon
tamisacosta,2017-11-23 02:28:26,2017,November,23,Thursday,2017-11-23,2,Late Night
danicarmesimoficial,2017-11-20 01:38:54,2017,November,20,Monday,2017-11-20,1,Late Night
tamisacosta,2017-11-14 01:38:29,2017,November,14,Tuesday,2017-11-14,1,Late Night
rodrigogodoy_,2017-11-11 01:58:12,2017,November,11,Saturday,2017-11-11,1,Late Night
baileperfumado,2017-11-09 01:32:06,2017,November,9,Thursday,2017-11-09,1,Late Night
deyvisonfsilva,2017-11-05 18:30:13,2017,November,5,Sunday,2017-11-05,18,Evening
deyvisonfsilva,2017-11-05 01:09:03,2017,November,5,Sunday,2017-11-05,1,Late Night
