Video,Channel,Time,Year,Month,Day_week,Date,Hour
 SE AS COISAS FOSSEM AO CONTRÁRIO - NO SUPERMERCADO,Valentina Pontes,2019-08-25 16:42:23,2019,August,Sunday,2019-08-25,16
 PISCINA É A NOSSA PAIXÃO - Flavia Calina,Flavia Calina,2019-08-25 16:34:16,2019,August,Sunday,2019-08-25,16
 Funny Stacy playing in outdoor playground,Like Nastya ESP,2019-08-25 16:31:35,2019,August,Sunday,2019-08-25,16
 Pintinho Amarelinho Se Escondeu Da Galinha Pintadinha Tia Fla Kids,Tio Pufi,2019-08-25 16:28:54,2019,August,Sunday,2019-08-25,16
 BABY ALIVE MENINO MEU PRIMEIRO FILHO TOMANDO BANHO NA BANHEIRA DE ÁGUA AZUL,Baby Alive Brasil,2019-08-25 16:27:16,2019,August,Sunday,2019-08-25,16
 MAMÃE E FILHA BRINCANDO NO PARQUINHO,Valentina Pontes,2019-08-25 16:27:04,2019,August,Sunday,2019-08-25,16
 ESCORREGANDO NO PAPELÃO - Conhecendo Curitiba,Maria Clara & JP,2019-08-25 16:24:53,2019,August,Sunday,2019-08-25,16
 MINHA FESTA SURPRESA DA LADYBUG,Maria Clara & JP,2019-08-25 16:22:17,2019,August,Sunday,2019-08-25,16
 BRINCANDO DE MASTERCHEF   3,Eloah e Diversão,2019-08-25 16:21:55,2019,August,Sunday,2019-08-25,16
 MINHA ROTINA DA MANHÃ ★ Diversão em dias de semana ★ Hora de brincar!!! BabyAlive Sarinha,Canal da Lelê,2019-08-25 16:21:03,2019,August,Sunday,2019-08-25,16
 BABYALIVE / M&M's Transformação,Bia Lobo,2019-08-25 16:17:42,2019,August,Sunday,2019-08-25,16
 BABYALIVE / PLAY-DOH / ICE CREAM / SORVETERIA da BIA LOBO,Bia Lobo,2019-08-25 16:15:43,2019,August,Sunday,2019-08-25,16
 OVO SURPRESA GIGANTE play doh das princesas,Valentina Pontes,2019-08-25 16:15:37,2019,August,Sunday,2019-08-25,16
 OVO KINDER SURPRESA GIGANTE!! Maxi Kinder Chocolate Surprise Egg Toys for Kids,Brancoala,2019-08-25 16:13:46,2019,August,Sunday,2019-08-25,16
" PROVANDO DOCES ESTRANHOS COM MAIKITO!! Experimentando Pirulitos, Balas, Marshmallow e Chupetas",Brancoala,2019-08-25 16:13:23,2019,August,Sunday,2019-08-25,16
 Como fazer LEITE EM PÓ para Baby Alive e outras bonecas. Novelinha da Baby Alive,Brincadeira de Criança,2019-08-25 16:12:30,2019,August,Sunday,2019-08-25,16
 GANHEI UM BONECO DE URSO GIGANTE DE VERDADE,LUCCAS NETO - LUCCAS TOON,2019-08-25 16:12:25,2019,August,Sunday,2019-08-25,16
 PAPAI NOEL APARECEU EM CASA ANTES DO NATAL!! Familia Brancoala,Brancoala,2019-08-25 16:11:17,2019,August,Sunday,2019-08-25,16
 ROTINA DE UM DIA NORMAL EM FAMILIA!! Macarrão com Salsicha da Claudia e Pacote de 10 Fidget Spinners,Brancoala,2019-08-25 16:11:05,2019,August,Sunday,2019-08-25,16
 ANIVERSÁRIO DE 11 MESES DA NINA  - 6 DE JANEIRO,BEL,2019-08-25 16:09:50,2019,August,Sunday,2019-08-25,16
 FESTA DE ANIVERSÁRIO DA GALINHA PINTADINHA - MISS GABY,Miss Gaby e Família,2019-08-25 15:48:59,2019,August,Sunday,2019-08-25,15
 Baby Alive no Mc Donald's Clarabela e Aninha Comendo McLanche Feliz,Bia Lobo,2019-08-11 19:05:54,2019,August,Sunday,2019-08-11,19
 Baby Alive Rotina do Almoço LUNCH ROUTINE com BIA LOBO,Bia Lobo,2019-08-11 19:03:17,2019,August,Sunday,2019-08-11,19
 UMA MANHÃ DE ATIVIDADES - Flavia Calina,Flavia Calina,2019-08-11 18:52:37,2019,August,Sunday,2019-08-11,18
 ROTINA DA MANHÃ VOLTA ÀS AULAS - MY MORNING ROUTINE ( férias de julho) 2016 - Julia Moraes,Julia Moraes,2019-08-11 18:52:31,2019,August,Sunday,2019-08-11,18
 MINHA ROTINA DA MANHÃ ★ Diversão em dias de semana ★ Hora de brincar!!! BabyAlive Sarinha,Canal da Lelê,2019-08-11 18:47:17,2019,August,Sunday,2019-08-11,18
 BABYALIVE / PLAY-DOH / ICE CREAM / SORVETERIA da BIA LOBO,Bia Lobo,2019-08-11 18:38:35,2019,August,Sunday,2019-08-11,18
 BRINCANDO DE MASTERCHEF   3,Eloah e Diversão,2019-08-11 18:36:46,2019,August,Sunday,2019-08-11,18
 ANIVERSÁRIO DE 11 MESES DA NINA  - 6 DE JANEIRO,BEL,2019-08-11 18:34:16,2019,August,Sunday,2019-08-11,18
 VIRAMOS TROLLS - Flavia Calina,Flavia Calina,2019-08-11 18:30:40,2019,August,Sunday,2019-08-11,18
 Öykü Yüzme Havuzunda - For Kid Swimming Pool Colored Fences - Funny Oyuncak Avı,Oyuncak Avı,2019-08-11 18:27:52,2019,August,Sunday,2019-08-11,18
 BABYALIVE / Shopping / PASSEIO de Carro,Bia Lobo,2019-08-11 18:26:25,2019,August,Sunday,2019-08-11,18
 Baby Alive Sara minha boneca Ganha Brinquedo Novo playset 3 em 1 toma Banho Cozinha e Muito mais!!!,Totoykids,2019-08-11 18:26:21,2019,August,Sunday,2019-08-11,18
